ID,Bearbeiter,Active,quelle,titel_de,description_de,group,Dauer (Minuten),Schwerpunkt,Level,Anleitung,Material,Unnamed: 12
1.0,Michael,Ja,HOME,Abheben,"Baut ein Objekt, welches mind. 15 s in der Luft bleiben kann. Verwende dabei die dir zu Verfügung stehenden Utensilien.", ,40-60,,2,,-,
2.0,Michael,,HOME,Augen zu!,Holt euch beim Pices eine Fragenliste ab - jeder aus eurer Kleingruppe hat ab diesem Zeitpunkt einmal die Möglichkeit die Patrulle darum zu bitten sofort die Augen zu schließen (achtet auf sichere Situationen!) und ihm die Fragen der Liste zu beantworten. Besprecht am Ende mit euren LeiterInnen was euch aufgefallen ist und ob sich über die verschiedenen Runden etwas verändert hat!,.,60,,3,,Fragenliste,Frage Liste? eventuell ja nach fragen mänge level 2 wehniger zeit
3.0,Michael,Ja,HOME,Auszeit,Verbringt allein eine Stunde schweigend - wahlweise zurückgezogen an einem stillen Ort oder im Getummel des Lageralltags. Teilt danach untereinander Erfahrungen. , ,60,,1,,-,
4.0,Michael,Ja,HOME,Ballspiel,Fordere eine andere Kleingruppe zu einem Ballspiel heraus das ca. 30 min geht., ,30,,2,,Ball,
5.0,Michael,Ja,HOME,Bank Challenge ,Einer aus eurer Patrulle in liegt auf einer Heurigenbank/ Bierbank. Er muss nun ohne den Boden zu berühren unter der Bank durchklettern bis er wieder darauf liegt. Die Bank darf nicht gehalten werden. , ,15,,1,,Bierbank,
6.0,Michael,Ja,HOME,BAU-Challenge,"Baut einen besonderen Lagerbau wie z.B. einen Pool, einen Turm oder ein Flugzeug.", ,90,,2,,-,
7.0,Michael,Ja,HOME,Blinder Spaziergang,"Macht einen blinden Spaziergang in der Nähe des Lagerplatzes. Einer von euch ist der sehende Leiter, der die Gruppe der Blinden führt.", ,30,,2,,Augenbinden,
8.0,Michael,Archiv,HOME,Body Groove,"Body Groove Ist ein pures Bewegungs- und Rhythmusvergnügen. Mit abwechslungsreichen Rhythmen ist Bod Groove überall einsetzbar und fasziniert mit raffinierten Bewegungsfolgen. Body Groove ist ein Arbeit mit Rhythmus und Musik, sie fördert   Geschicklichkeit, Mut und Spontanität, schult Aufmerksamkeit und Gedächtnis und stärkt Selbstbewusstsein, Kommunikationsfähigkeit und Fantasie. Berenike Heidecker ist Rhythmikerin und Musikerin und macht Body Groove für euch zum rhythmischen Erlebnis. ",.,,.,,,-,
9.0,Michael,Ja,HOME,Bumerang ,"Baut und gestaltet einen Bumerang aus Holz, der immer nach HOME zurückkehrt. Anleitung und Material findet ihr im DiscO. ", ,60,,2,https://www.selbst.de/bumerang-bauen-46941.html,"Cuttermesser, Feile, Laubsäge, (Stichsäge), Schleifpapier, viellagiges Sperrholz (4-5 mm)",
10.0,Michael,Archiv,HOME,Challenge Valley/ Auf der Flucht,"Absolviere den Hindernislauf ""Challenge Valley"". Anmeldung beim Challenge Valley Team!", ,60-90,,3,,-,
11.0,Michael,Ja,HOME,Colormatch,Finde jemanden dessen Gruppenhalstuch aus denselben Farben wie dein eigenes besteht (aus einer andern Gruppe). ,Einzel,15,,1,,-,
12.0,Michael,Ja,HOME,Cultureclash I,"Lerne etwas aus einer anderen Kultur z.B. ein Lied, ein Spiel, ein Ritual, …", ,30,,1,,-,
13.0,Michael,Ja,TOGETHER,Cultureclash II,Lerne dich in einer anderen Sprache (keine aus deinem Standard repatuiere/aus der Schulbildung)  vorzustellen., ,30,,1,,Karten mit Begrüßungsformel,
14.0,Michael,Ja,HOME,Das Lied,Dichtet einen bekannten Song um zu einen Lied über das TOGETHER., ,30,,2,,-,
